epoch,train_loss,train_error,valid_loss,valid_error,test_error
224,0.011372,0.002822,0.25406,0.05740,
225,0.009169,0.002156,0.26019,0.05840,
226,0.006445,0.001422,0.25116,0.05380,
227,0.004947,0.001000,0.24306,0.05440,
228,0.004656,0.000756,0.24219,0.05340,
229,0.004023,0.000489,0.24567,0.05300,
230,0.003918,0.000578,0.24326,0.05480,
231,0.004001,0.000756,0.24943,0.05480,
232,0.003707,0.000489,0.24610,0.05660,
233,0.003683,0.000489,0.24546,0.05320,
234,0.003506,0.000489,0.24673,0.05480,
235,0.003545,0.000556,0.24887,0.05560,
236,0.003316,0.000356,0.24000,0.05140,
237,0.003264,0.000400,0.24682,0.05540,
238,0.003378,0.000511,0.24693,0.05440,
239,0.003053,0.000311,0.24710,0.05480,
240,0.002882,0.000289,0.24197,0.05280,
241,0.002948,0.000400,0.24917,0.05460,
242,0.002930,0.000356,0.24178,0.05420,
243,0.002652,0.000156,0.24632,0.05400,
244,0.003036,0.000422,0.25254,0.05520,
245,0.002770,0.000267,0.24283,0.05160,
246,0.002858,0.000200,0.24614,0.05360,
247,0.002757,0.000289,0.24135,0.05380,
248,0.002427,0.000156,0.25146,0.05440,
249,0.002365,0.000111,0.24240,0.05200,
250,0.002609,0.000267,0.25013,0.05460,
251,0.002737,0.000333,0.24921,0.05320,
252,0.002454,0.000178,0.24762,0.05380,
253,0.002447,0.000267,0.24136,0.05320,
254,0.002323,0.000200,0.24505,0.05340,
255,0.002536,0.000378,0.24495,0.05260,
256,0.002573,0.000222,0.25206,0.05440,
257,0.002435,0.000289,0.24889,0.05340,
258,0.002517,0.000289,0.24628,0.05140,
259,0.002500,0.000267,0.25144,0.05440,
260,0.002228,0.000089,0.24695,0.05380,
261,0.002400,0.000267,0.24185,0.05360,
262,0.002199,0.000178,0.24624,0.05480,
263,0.002707,0.000400,0.25087,0.05520,
264,0.002357,0.000178,0.24537,0.05360,
265,0.002182,0.000156,0.24373,0.05380,
266,0.002349,0.000178,0.24668,0.05320,
267,0.002218,0.000200,0.24592,0.05420,
268,0.002535,0.000222,0.25178,0.05440,
269,0.002325,0.000178,0.25094,0.05440,
270,0.002305,0.000244,0.24398,0.05320,
271,0.002395,0.000267,0.24054,0.05160,
272,0.002203,0.000289,0.25082,0.05280,
